ts,anchor,mac,distance_m,rssi
1768291292.8867009,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291292.8867009,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291292.8867009,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291292.8867009,A1,6d:f1:1d:0d:da:11,0.5,-63
1768291293.8317246,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291294.8349442,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291295.8453689,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291296.8577683,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291297.9523234,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291298.976323,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291300.0316405,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291301.0474029,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291302.3738377,A1,6d:f1:1d:0d:da:11,0.5,-63
1768291303.2578762,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291304.2590759,A1,6d:f1:1d:0d:da:11,0.5,-65
1768291305.2707856,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291306.2907817,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291307.3041935,A1,6d:f1:1d:0d:da:11,0.5,-65
1768291308.3394608,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291309.3498287,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291311.3755405,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291311.6889515,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291312.552786,A1,6d:f1:1d:0d:da:11,0.5,-65
1768291313.5668926,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291314.5852292,A1,6d:f1:1d:0d:da:11,0.5,-66
1768291315.5987732,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291316.7544613,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291317.7624025,A1,6d:f1:1d:0d:da:11,0.5,-75
1768291318.7897875,A1,6d:f1:1d:0d:da:11,0.5,-65
1768291319.799139,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291320.8335488,A1,6d:f1:1d:0d:da:11,0.5,-65
1768291321.8433363,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291323.0081868,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291324.010983,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291325.0315473,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291326.042123,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291327.3506122,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291328.1644108,A1,6d:f1:1d:0d:da:11,0.5,-74
1768291329.2407243,A1,6d:f1:1d:0d:da:11,0.5,-65
1768291330.2563474,A1,6d:f1:1d:0d:da:11,0.5,-62
1768291331.2760918,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291332.286908,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291333.3775096,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291334.412545,A1,6d:f1:1d:0d:da:11,0.5,-65
1768291335.4324455,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291336.4069178,A1,6d:f1:1d:0d:da:11,0.5,-65
1768291337.4199955,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291338.4443882,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291339.4569206,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291340.6178515,A1,6d:f1:1d:0d:da:11,0.5,-64
1768291354.1854618,A1,6d:f1:1d:0d:da:11,1,-64
1768291355.1895685,A1,6d:f1:1d:0d:da:11,1,-64
1768291356.210931,A1,6d:f1:1d:0d:da:11,1,-63
1768291357.1968384,A1,6d:f1:1d:0d:da:11,1,-63
1768291358.2077699,A1,6d:f1:1d:0d:da:11,1,-65
1768291359.219182,A1,6d:f1:1d:0d:da:11,1,-65
1768291360.3787956,A1,6d:f1:1d:0d:da:11,1,-65
1768291361.3846455,A1,6d:f1:1d:0d:da:11,1,-63
1768291362.409435,A1,6d:f1:1d:0d:da:11,1,-65
1768291363.4216974,A1,6d:f1:1d:0d:da:11,1,-64
1768291364.5787966,A1,6d:f1:1d:0d:da:11,1,-64
1768291365.584035,A1,6d:f1:1d:0d:da:11,1,-63
1768291366.6046674,A1,6d:f1:1d:0d:da:11,1,-63
1768291367.6169875,A1,6d:f1:1d:0d:da:11,1,-65
1768291368.8409803,A1,6d:f1:1d:0d:da:11,1,-65
