ts,anchor,mac,distance_m,rssi
1766474107,A2,60:36:51:f7:21:1d,5,-82
1766474108,A2,60:36:51:f7:21:1d,5,-81
1766474109,A2,60:36:51:f7:21:1d,5,-82
1766474110,A2,60:36:51:f7:21:1d,5,-81
1766474111,A2,60:36:51:f7:21:1d,5,-82
1766474112,A2,60:36:51:f7:21:1d,5,-82
1766474113,A2,60:36:51:f7:21:1d,5,-81
1766474114,A2,60:36:51:f7:21:1d,5,-82
1766474116,A2,60:36:51:f7:21:1d,5,-80
1766474117,A2,60:36:51:f7:21:1d,5,-81
1766474118,A2,60:36:51:f7:21:1d,5,-80
1766474119,A2,60:36:51:f7:21:1d,5,-82
1766474120,A2,60:36:51:f7:21:1d,5,-79
1766474121,A2,60:36:51:f7:21:1d,5,-81
1766474122,A2,60:36:51:f7:21:1d,5,-79
1766474123,A2,60:36:51:f7:21:1d,5,-81
1766474124,A2,60:36:51:f7:21:1d,5,-81
1766474125,A2,60:36:51:f7:21:1d,5,-80
1766474126,A2,60:36:51:f7:21:1d,5,-81
1766474127,A2,60:36:51:f7:21:1d,5,-81
1766474128,A2,60:36:51:f7:21:1d,5,-82
1766474129,A2,60:36:51:f7:21:1d,5,-79
1766474130,A2,60:36:51:f7:21:1d,5,-83
1766474131,A2,60:36:51:f7:21:1d,5,-81
1766474132,A2,60:36:51:f7:21:1d,5,-81
1766474133,A2,60:36:51:f7:21:1d,5,-81
1766474134,A2,60:36:51:f7:21:1d,5,-76
1766474135,A2,49:af:41:12:61:c7,5,-74
1766474136,A2,49:af:41:12:61:c7,5,-73
1766474137,A2,49:af:41:12:61:c7,5,-74
1766474138,A2,49:af:41:12:61:c7,5,-81
1766474139,A2,49:af:41:12:61:c7,5,-74
1766474140,A2,49:af:41:12:61:c7,5,-76
1766474141,A2,49:af:41:12:61:c7,5,-81
1766474142,A2,49:af:41:12:61:c7,5,-80
1766474193,A2,49:af:41:12:61:c7,4,-78
1766474195,A2,49:af:41:12:61:c7,4,-78
1766474196,A2,49:af:41:12:61:c7,4,-79
1766474197,A2,49:af:41:12:61:c7,4,-80
1766474198,A2,49:af:41:12:61:c7,4,-79
1766474199,A2,49:af:41:12:61:c7,4,-81
1766474200,A2,49:af:41:12:61:c7,4,-78
1766474201,A2,49:af:41:12:61:c7,4,-78
1766474202,A2,49:af:41:12:61:c7,4,-78
1766474203,A2,49:af:41:12:61:c7,4,-78
1766474204,A2,49:af:41:12:61:c7,4,-79
1766474205,A2,49:af:41:12:61:c7,4,-80
1766474206,A2,49:af:41:12:61:c7,4,-79
1766474207,A2,49:af:41:12:61:c7,4,-80
1766474208,A2,49:af:41:12:61:c7,4,-78
1766474209,A2,49:af:41:12:61:c7,4,-80
1766474210,A2,49:af:41:12:61:c7,4,-79
1766474211,A2,49:af:41:12:61:c7,4,-80
1766474212,A2,49:af:41:12:61:c7,4,-80
1766474213,A2,49:af:41:12:61:c7,4,-77
1766474214,A2,49:af:41:12:61:c7,4,-79
1766474215,A2,49:af:41:12:61:c7,4,-81
1766474217,A2,49:af:41:12:61:c7,4,-81
1766474217,A2,49:af:41:12:61:c7,4,-82
1766474218,A2,49:af:41:12:61:c7,4,-80
1766474220,A2,49:af:41:12:61:c7,4,-79
1766474221,A2,49:af:41:12:61:c7,4,-80
1766474222,A2,49:af:41:12:61:c7,4,-78
1766474223,A2,49:af:41:12:61:c7,4,-76
1766474224,A2,49:af:41:12:61:c7,4,-77
1766474225,A2,49:af:41:12:61:c7,4,-76
1766474226,A2,49:af:41:12:61:c7,4,-75
1766474227,A2,49:af:41:12:61:c7,4,-75
1766474228,A2,49:af:41:12:61:c7,4,-77
1766474229,A2,49:af:41:12:61:c7,4,-80
1766474230,A2,49:af:41:12:61:c7,4,-79
1766474231,A2,49:af:41:12:61:c7,4,-80
1766474232,A2,49:af:41:12:61:c7,4,-80
1766474275,A2,49:af:41:12:61:c7,3,-78
1766474276,A2,49:af:41:12:61:c7,3,-78
1766474277,A2,49:af:41:12:61:c7,3,-80
1766474278,A2,49:af:41:12:61:c7,3,-80
1766474279,A2,49:af:41:12:61:c7,3,-78
1766474280,A2,49:af:41:12:61:c7,3,-80
1766474281,A2,49:af:41:12:61:c7,3,-80
1766474282,A2,49:af:41:12:61:c7,3,-80
1766474283,A2,49:af:41:12:61:c7,3,-78
1766474284,A2,49:af:41:12:61:c7,3,-79
1766474285,A2,49:af:41:12:61:c7,3,-79
1766474286,A2,49:af:41:12:61:c7,3,-79
1766474287,A2,49:af:41:12:61:c7,3,-79
1766474288,A2,49:af:41:12:61:c7,3,-79
1766474289,A2,49:af:41:12:61:c7,3,-78
1766474290,A2,49:af:41:12:61:c7,3,-83
1766474291,A2,49:af:41:12:61:c7,3,-78
1766474292,A2,49:af:41:12:61:c7,3,-78
1766474293,A2,49:af:41:12:61:c7,3,-84
1766474294,A2,49:af:41:12:61:c7,3,-78
1766474295,A2,49:af:41:12:61:c7,3,-84
1766474296,A2,49:af:41:12:61:c7,3,-79
1766474297,A2,49:af:41:12:61:c7,3,-84
1766474298,A2,49:af:41:12:61:c7,3,-84
1766474299,A2,49:af:41:12:61:c7,3,-91
1766474300,A2,49:af:41:12:61:c7,3,-78
1766474302,A2,49:af:41:12:61:c7,3,-79
1766474303,A2,49:af:41:12:61:c7,3,-80
1766474304,A2,49:af:41:12:61:c7,3,-80
1766474305,A2,49:af:41:12:61:c7,3,-78
1766474306,A2,49:af:41:12:61:c7,3,-79
1766474307,A2,49:af:41:12:61:c7,3,-79
1766474308,A2,49:af:41:12:61:c7,3,-79
1766474309,A2,49:af:41:12:61:c7,3,-79
1766474310,A2,49:af:41:12:61:c7,3,-79
1766474311,A2,49:af:41:12:61:c7,3,-79
1766474312,A2,49:af:41:12:61:c7,3,-79
1766474313,A2,49:af:41:12:61:c7,3,-85
1766474314,A2,49:af:41:12:61:c7,3,-84
1766474315,A2,49:af:41:12:61:c7,3,-79
1766474316,A2,49:af:41:12:61:c7,3,-77
